Key,English|en|us,Turkish|tr|tr,Deutsch|de|de,French|fr|f,한국인|kr|kr,español|ep|ep
Password_Generator,Password Generator,Şifre Üretici,Passwort Generator,Générateur de mot de passe,비밀번호 생성기,Generador de contraseñas
Character_lenght,Character Lenght,Karakter Uzunluğu,Charakter Lenght,Personnage Lenght,문자 길이,Longitud de personaje
Include_Uppercase_Letters,Include Uppercase Letters,Büyük harfleri dahil et,Großbuchstaben enthalten,Inclure des lettres majuscules,대문자를 포함하십시오,Incluir letras mayúsculas
Include_Lowercase_Letters,Include Lowercase Letters,Küçük harfleri dahil et,Kleinbuchstaben enthalten,Inclure les lettres minuscules,소문자를 포함하십시오,Incluir letras minúsculas
Include_Numbers,Include Numbers,Numaraları dahil et,Zahlen einschließen,Inclure les chiffres,숫자를 포함하십시오,Incluir números
Include_Symbols,Include Symbols,Sembolleri dahil et,Symbole einschließen,Inclure les symboles,기호를 포함하십시오,Incluir símbolos
Strenght,STRENGHT,Güç,Streng,FORCE,강도,Fortalecer
Generate,GENERATE,ŞİFRE ÜRET,GENERIEREN,PRODUIRE,생성하다,GENERAR
Add_Category,Add Category,Kategori Ekle,Kategorie hinzufügen,Ajouter une catégorie,카테고리 추가,Añadir categoría
Category_Name,Category name,Kategori ismi,Kategorie name,Nom de catégorie,카테고리 이름,Nombre de la categoría
CATEGORIES,Categories,Kategoriler,Kategorien,Catégories,카테고리,Categorías
Work,Work,İş,Arbeit,Travail,일하다,Trabaja
Games,Games,Oyunlar,Spiele,Jeux,계략,Juegos
Social Media,Social Media,Sosyal Medya,Sozialen Medien,Des médias sociaux,소셜 미디어,Medios de comunicación social
Choose_Language,Choose Language,Dili Seç,Sprache wählen,Choisissez la langue,언어를 선택하십시오,Elige lengua
Saved_Password,Saved Password,Kayıtlı Şifreler,Speichern Passwort,Mot de passe enregistré,저장된 비밀번호,Contraseña guardada
All,All,Tümü,Alle,Tous,모두,Todas
Save_Password,Save Password,Şifreyi Kaydet,Passwort Speichern,Sauvegarder le mot de passe,비밀번호를 저장합니다,Guardar Contraseña
Password_Name,Password name,Şifre ismi,Passwort name,Nom de mot de passe,비밀번호 이름,Nombre de contraseña
Save,SAVE,KAYDET,SPEICHERN,SAUVEGARDER,저장,SALVAR
Are_U_Sure?,Are you sure?,Emin misin?,Bist du sicher?,Êtes-vous sûr?,확실합니까?,¿Está seguro?
Back,Back,Geri,Der Rücken,Dos,뒤쪽에,Atrás
Delete,Delete,Sil,Löschen,Supprimer,삭제,Borrar
Edit_Name,Edit name,İsmi Düzenle,Namen Bearbeiten,Modifier le nom,이름 편집,Editar Nombre
New_Name,New name,Yeni isim,Neuer name,Nouveau nom,새로운 이름,Nuevo nombre
Edit,Edit,Düzenle,Bearbeiten,Éditer,편집하다,Editar
Category_Emojis,Category Emojis,Kategori Emojisi,Kategorie Emojis,Emojis de catégorie,카테고리 이모티콘,Emojis de categoría
Category_Null,Category name cannot  be null,Kategori isimi boş olamaz,Der Kategorienname kann nicht null sein,Le nom de catégorie ne peut pas être nul,카테고리 이름은 null이 될 수 없습니다,El nombre de la categoría no puede ser nulo
Success,Successfully saved,Kayıt başarılı,Erfolgreich gespeichert,Enregistré avec succès,성공적으로 저장되었습니다,Guardado con éxito
Saved_Error,There is a password registered to this category.,Bu kategoriye kayıtlı şifre var,Für diese Kategorie wird ein Passwort registriert.,Il y a un mot de passe enregistré dans cette catégorie.,이 범주에 등록 된 암호가 있습니다.,Hay una contraseña registrada en esta categoría.
